datasetId,lotName,zone,bayNumber,sensorId,maxParkingMinutes,disabilityPermitRequired,occupied,confidence,statusSource,lastUpdated,latitude,longitude
1,P1,Accessible,001,UOW-P1-ACC-001,300,true,false,0.93,dataset,2026-05-18T08:00:00Z,-34.40690,150.87980
2,P1,Accessible,002,UOW-P1-ACC-002,300,true,false,0.94,dataset,2026-05-18T08:00:00Z,-34.40688,150.87982
3,P1,Accessible,003,UOW-P1-ACC-003,300,true,true,0.95,dataset,2026-05-18T08:00:00Z,-34.40686,150.87984
4,P1,General,004,UOW-P1-GEN-004,300,false,false,0.96,dataset,2026-05-18T08:00:00Z,-34.40684,150.87986
5,P1,General,005,UOW-P1-GEN-005,300,false,false,0.97,dataset,2026-05-18T08:00:00Z,-34.40682,150.87988
6,P1,General,006,UOW-P1-GEN-006,300,false,true,0.98,dataset,2026-05-18T08:00:00Z,-34.40680,150.87990
7,P1,General,007,UOW-P1-GEN-007,300,false,false,0.99,dataset,2026-05-18T08:00:00Z,-34.40678,150.87992
8,P1,General,008,UOW-P1-GEN-008,300,false,false,0.92,dataset,2026-05-18T08:00:00Z,-34.40676,150.87994
9,P1,General,009,UOW-P1-GEN-009,300,false,false,0.93,dataset,2026-05-18T08:00:00Z,-34.40674,150.87996
10,P1,General,010,UOW-P1-GEN-010,300,false,false,0.94,dataset,2026-05-18T08:00:00Z,-34.40672,150.87998
11,P1,General,011,UOW-P1-GEN-011,300,false,true,0.95,dataset,2026-05-18T08:00:00Z,-34.40670,150.88000
12,P1,General,012,UOW-P1-GEN-012,300,false,false,0.96,dataset,2026-05-18T08:00:00Z,-34.40668,150.88002
13,P1,General,013,UOW-P1-GEN-013,300,false,false,0.97,dataset,2026-05-18T08:00:00Z,-34.40666,150.88004
14,P1,General,014,UOW-P1-GEN-014,300,false,true,0.98,dataset,2026-05-18T08:00:00Z,-34.40664,150.88006
15,P1,General,015,UOW-P1-GEN-015,300,false,false,0.99,dataset,2026-05-18T08:00:00Z,-34.40662,150.88008
16,P1,General,016,UOW-P1-GEN-016,300,false,false,0.92,dataset,2026-05-18T08:00:00Z,-34.40660,150.88010
17,P1,General,017,UOW-P1-GEN-017,300,false,true,0.93,dataset,2026-05-18T08:00:00Z,-34.40658,150.88012
18,P1,General,018,UOW-P1-GEN-018,300,false,false,0.94,dataset,2026-05-18T08:00:00Z,-34.40656,150.88014
19,P1,General,019,UOW-P1-GEN-019,300,false,true,0.95,dataset,2026-05-18T08:00:00Z,-34.40654,150.88016
20,P1,General,020,UOW-P1-GEN-020,300,false,false,0.96,dataset,2026-05-18T08:00:00Z,-34.40652,150.88018
