sequenceNumber,sensorId,occupied,confidence,source,observedAt
1,UOW-P1-GEN-011,true,0.93,simulated-loop,2026-05-18T08:04:00Z
2,UOW-P1-GEN-018,false,0.94,simulated-loop,2026-05-18T08:08:00Z
3,UOW-P1-GEN-025,true,0.95,simulated-loop,2026-05-18T08:12:00Z
4,UOW-P2-GEN-007,true,0.96,simulated-loop,2026-05-18T08:16:00Z
5,UOW-P2-GEN-014,false,0.97,simulated-loop,2026-05-18T08:20:00Z
6,UOW-P3-GEN-006,true,0.98,simulated-loop,2026-05-18T08:24:00Z
7,UOW-P3-GEN-013,false,0.92,simulated-loop,2026-05-18T08:28:00Z
8,UOW-P3-GEN-020,true,0.93,simulated-loop,2026-05-18T08:32:00Z
9,UOW-P4-GEN-007,true,0.94,simulated-loop,2026-05-18T08:36:00Z
10,UOW-P4-GEN-014,false,0.95,simulated-loop,2026-05-18T08:40:00Z
11,UOW-P5-GEN-006,true,0.96,simulated-loop,2026-05-18T08:44:00Z
12,UOW-P5-GEN-013,false,0.97,simulated-loop,2026-05-18T08:48:00Z
13,UOW-P8-GEN-005,true,0.98,simulated-loop,2026-05-18T08:52:00Z
14,UOW-P1-ACC-002,true,0.92,simulated-loop,2026-05-18T08:56:00Z
15,UOW-P1-GEN-009,false,0.93,simulated-loop,2026-05-18T09:00:00Z
16,UOW-P1-GEN-016,true,0.94,simulated-loop,2026-05-18T09:04:00Z
17,UOW-P1-GEN-023,true,0.95,simulated-loop,2026-05-18T09:08:00Z
18,UOW-P2-GEN-005,false,0.96,simulated-loop,2026-05-18T09:12:00Z
19,UOW-P2-GEN-012,true,0.97,simulated-loop,2026-05-18T09:16:00Z
20,UOW-P3-GEN-004,false,0.98,simulated-loop,2026-05-18T09:20:00Z
21,UOW-P3-GEN-011,true,0.92,simulated-loop,2026-05-18T09:24:00Z
22,UOW-P3-GEN-018,true,0.93,simulated-loop,2026-05-18T09:28:00Z
23,UOW-P4-GEN-005,false,0.94,simulated-loop,2026-05-18T09:32:00Z
24,UOW-P4-GEN-012,true,0.95,simulated-loop,2026-05-18T09:36:00Z
25,UOW-P5-GEN-004,false,0.96,simulated-loop,2026-05-18T09:40:00Z
26,UOW-P5-GEN-011,true,0.97,simulated-loop,2026-05-18T09:44:00Z
27,UOW-P8-GEN-003,true,0.98,simulated-loop,2026-05-18T09:48:00Z
28,UOW-P8-GEN-010,false,0.92,simulated-loop,2026-05-18T09:52:00Z
29,UOW-P1-GEN-007,true,0.93,simulated-loop,2026-05-18T09:56:00Z
30,UOW-P1-GEN-014,true,0.94,simulated-loop,2026-05-18T10:00:00Z
31,UOW-P1-GEN-021,false,0.95,simulated-loop,2026-05-18T10:04:00Z
32,UOW-P2-GEN-003,true,0.96,simulated-loop,2026-05-18T10:08:00Z
33,UOW-P2-GEN-010,false,0.97,simulated-loop,2026-05-18T10:12:00Z
34,UOW-P3-GEN-002,true,0.98,simulated-loop,2026-05-18T10:16:00Z
35,UOW-P3-GEN-009,true,0.92,simulated-loop,2026-05-18T10:20:00Z
36,UOW-P3-GEN-016,false,0.93,simulated-loop,2026-05-18T10:24:00Z
37,UOW-P4-GEN-003,true,0.94,simulated-loop,2026-05-18T10:28:00Z
38,UOW-P4-GEN-010,false,0.95,simulated-loop,2026-05-18T10:32:00Z
39,UOW-P5-GEN-002,true,0.96,simulated-loop,2026-05-18T10:36:00Z
40,UOW-P5-GEN-009,true,0.97,simulated-loop,2026-05-18T10:40:00Z
41,UOW-P8-ACC-001,false,0.98,simulated-loop,2026-05-18T10:44:00Z
